logFC	AveExpr	t	P.Value	adj.P.Val	B	query	name	symbol
0.861706561805125	26.5550455358904	6.26388991171303	6.64484802404418e-06	6.64484802404418e-06	3.89831894354668	Q9BUT1	Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.-) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (EC 1.1.1.30) (4-oxo-L-proline reductase) (EC 1.1.1.104) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1)	BDH2
0.623156799571635	25.7735723546784	5.04447494116804	8.47437009703713e-05	8.47437009703713e-05	1.62250037653128	O75822	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)	EIF3J
0.599143847701114	24.4823287546162	5.06121345434121	9.69342790652096e-05	9.69342790652096e-05	1.49433324600203	J3KS22	L-xylulose reductase (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase)	DCXR
0.37383248539766	28.0355152827353	4.88613415130666	0.000119403806124654	0.000119403806124654	1.31220263148855	Q99733	Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2)	NAP1L4
0.461335652368525	24.6018871850934	4.84412824728741	0.000130825901790308	0.000130825901790308	1.22941844986555	Q9Y6K1	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	DNMT3A
0.35762405501475	27.062956983958	4.81208893826333	0.000140281917278924	0.000140281917278924	1.16615143433643	P05198	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha)	EIF2S1
0.435657179257113	26.2470711199955	4.78905772943362	0.000147506934711303	0.000147506934711303	1.12060729126702	P09669	Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)	COX6C
-0.80738203473167	27.6552684409313	-4.72800130020703	0.000168549832098923	0.000168549832098923	0.999612506814862	A0A024RA52	Proteasome subunit alpha type	PSMA2
-0.943316493947133	27.9168029621135	-4.6819383554455	0.000186427616428773	0.000186427616428773	0.90809288388632	P30085	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	CMPK1
0.477482227047069	28.9916773917781	4.61812751489077	0.000214427730695893	0.000214427730695893	0.780990825567988	P62280	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	RPS11
